File	Taxon	p(A)	p(C)	p(G)	p(T|U)	p(AT)	p(Purine)	p(Pyrimidine)	p(Gap)	p(Ambiguity)	RCFV Value (taxon specific)	Absolute Deviation (A)	Absolute Deviation (C)	Absolute Deviation (G)	Absolute Deviation (T|U)	Absolute Deviation (AT)	Absolute Deviation (Purine)	Absolute Deviation (Pyrimidine)	Absolute Deviation (Gap)	Absolute Deviation (Ambiguity)	p_uninformative sites
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Pelagiaria_Scombriformes_Scombridae_Thunnus_albacares	0.2403	0.2826	0.2755	0.2015	0.4418	0.5158	0.4842	0.1915	0.0246	0.0006	0.0057	0.0055	0.0066	0.0063	0.0113	0.0006	0.0006	0.0002	0.1073	0.2161
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Polymixiiformes_Polymixiidae_Polymixia_japonica	0.2299	0.2946	0.2866	0.1890	0.4188	0.5164	0.4836	0.1747	0.0235	0.0005	0.0047	0.0065	0.0045	0.0062	0.0117	0.0000	0.0000	0.0170	0.1084	0.1982
Matrix_original_supermatrix_mod.fas	Teleost_Otophysa_Characiformes_Characidae_Astyanax_mexicanus	0.2355	0.2807	0.2803	0.2034	0.4389	0.5159	0.4841	0.1898	0.0354	0.0005	0.0009	0.0074	0.0018	0.0082	0.0084	0.0005	0.0005	0.0019	0.0965	0.2253
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Zeiogadaria_Stylephoriformes_Stylephoridae_Stylephorus_chordatus	0.2324	0.2880	0.2856	0.1940	0.4264	0.5180	0.4820	0.1452	0.4065	0.0002	0.0022	0.0001	0.0035	0.0012	0.0041	0.0016	0.0016	0.0465	0.2746	0.5518
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Ateleopodiformes_Ateleopodidae_Guentherus_altivela	0.2286	0.2942	0.2879	0.1894	0.4180	0.5164	0.4836	0.3283	0.0966	0.0006	0.0060	0.0061	0.0058	0.0058	0.0125	0.0000	0.0000	0.1366	0.0353	0.4248
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Beryciformes_Berycidae_Beryx_splendens	0.2253	0.2958	0.2890	0.1899	0.4152	0.5143	0.4857	0.2587	0.1848	0.0007	0.0093	0.0077	0.0069	0.0053	0.0153	0.0021	0.0021	0.0670	0.0529	0.4434
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Zeiogadaria_Gadiformes_Gadidae_Gadus_morhua	0.1965	0.3309	0.3135	0.1592	0.3556	0.5100	0.4900	0.2812	0.0525	0.0037	0.0381	0.0428	0.0314	0.0360	0.0749	0.0064	0.0064	0.0895	0.0794	0.3336
Matrix_original_supermatrix_mod.fas	Teleost_Otophysa_Cypriniformes_Danionidae_Danio_rerio	0.2531	0.2638	0.2629	0.2203	0.4733	0.5159	0.4841	0.2572	0.0185	0.0022	0.0185	0.0243	0.0192	0.0251	0.0428	0.0005	0.0005	0.0655	0.1134	0.2757
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Salmoniformes_Salmonidae_Salmo_salar	0.2282	0.3016	0.2864	0.1838	0.4120	0.5146	0.4854	0.1708	0.0359	0.0009	0.0064	0.0135	0.0043	0.0114	0.0185	0.0018	0.0018	0.0209	0.0960	0.2067
Matrix_original_supermatrix_mod.fas	Teleost_Euteleost_Stomiatiformes_Stomiidae_Borostomias_antarcticus	0.2343	0.2927	0.2905	0.1825	0.4169	0.5248	0.4752	0.1117	0.6046	0.0006	0.0003	0.0046	0.0084	0.0127	0.0136	0.0084	0.0084	0.0800	0.4727	0.7163
