File	Clade	N taxa (informative)	p(A)	p(C)	p(G)	p(T|U)	p(AT)	p(Purine)	p(Pyrimidine)	csRCFV (A)	csRCFV (C)	csRCFV (G)	csRCFV (T|U)	csRCFV (AT)	csRCFV (Purine)	csRCFV (Pyrimidine)	Skew (A-G)	Skew (C-T)	Skew (A-T)	Skew (G-C)	Chi-square value	Degrees of freedom	p-value	RCFV Value	c-value	Mean p-distances	Mean ti/tv	Std. Deviation p-distances	Std. Deviation ti/tv	p(Sites)	p(Gap)	p(Ambiguity)	csRCFV (Gap)	csRCFV (Ambiguity)	p_uninformative sites	p_inv(State)	p_inv(Class)
Matrix_original_supermatrix_mod.fas	0 All_Taxa	40	0.2347	0.2878	0.2817	0.1958	0.4305	0.5164	0.4836	0.0137	0.0154	0.0123	0.0142	0.0278	0.0033	0.0033	-0.09	0.19	0.09	-0.01	6213.99917	117	0	0.0554	1.66542303896331	0.559894265474532	1.05318522865672	0.140775839050729	0.234451325684476	0.6764	0.1917	0.1319	0.0333	0.1224	0.3236	0.0120	0.0176
locus_0001	0 All_Taxa	37	0.2114	0.236	0.3401	0.2125	0.4239	0.5515	0.4485	0.0165	0.0184	0.0163	0.0148	0.0279	0.0114	0.0114	-0.23	0.05	-0.00	0.18	63.06754	108	0.99982	0.0659	1262.76777529773	0.801386001386001	4.32530606972129	0.0613329101460955	77.4492224977206	0.9967	0.0033	0	0.0055	0.0000	0.0781	0.3077	0.5179
locus_0002	0 All_Taxa	27	0.2828	0.2677	0.3361	0.1134	0.3962	0.6189	0.3811	0.0105	0.0130	0.0119	0.0105	0.0187	0.0071	0.0071	-0.09	0.40	0.43	0.11	41.04184	78	0.99982	0.0459	2411.99926756092	0.825875649405061	38.8968143940004	0.133832786574986	322.804583194505	0.8675	0.1325	0	0.0304	0.0000	0.4145	0.1863	0.2892
locus_0003	0 All_Taxa	40	0.2743	0.2404	0.2946	0.1908	0.4651	0.5688	0.4312	0.0223	0.0225	0.0195	0.0188	0.0378	0.0119	0.0119	-0.04	0.12	0.18	0.10	91.5324399999998	117	0.96073	0.0835	3058.39921415731	0.813834672789897	11.7122710773062	0.0596135891869868	182.322154322577	0.9986	0	0.0014	0.0000	0.0027	0.0014	0.3682	0.5970
locus_0004	0 All_Taxa	37	0.2401	0.2437	0.3263	0.1899	0.43	0.5664	0.4336	0.0198	0.0201	0.0201	0.0192	0.0337	0.0089	0.0089	-0.15	0.12	0.12	0.14	99.46087	108	0.70941	0.0791	11.473984527787	0.766449548139689	1.37960271064759	0.0694488598901653	0.796855143852205	0.9947	0.0004	0.0049	0.0007	0.0081	0.0799	0.2254	0.4319
locus_0005	0 All_Taxa	35	0.2334	0.3169	0.2745	0.1751	0.4085	0.508	0.492	0.0198	0.0241	0.0172	0.0239	0.0352	0.0167	0.0167	-0.08	0.29	0.14	-0.07	100.28563	102	0.52951	0.0848	10.5387746369343	0.781753932342168	1.45790446829346	0.0655970987913881	0.691313040999154	0.8844	0.1059	0.0097	0.0029	0.0148	0.2262	0.1795	0.3026
locus_0006	0 All_Taxa	38	0.2203	0.2455	0.2573	0.2769	0.4972	0.4775	0.5225	0.0190	0.0234	0.0199	0.0222	0.0367	0.0103	0.0103	-0.08	-0.06	-0.11	0.02	110.73615	111	0.48922	0.0843	8.00687858508794	0.76313226455474	1.19893745735391	0.0552667606733743	0.442514242502821	0.9999	0	0.0001	0.0000	0.0002	0.0501	0.3649	0.5541
locus_0007	0 All_Taxa	39	0.2448	0.3145	0.2592	0.1815	0.4263	0.504	0.496	0.0192	0.0259	0.0242	0.0224	0.0387	0.0137	0.0137	-0.03	0.27	0.15	-0.10	137.94144	114	0.062997	0.0917	4.46343504790039	0.728624632541401	0.793360545486157	0.0656505307372647	0.293026879805969	1.0000	0	0	0.0000	0.0000	0.0250	0.2519	0.4302
locus_0008	0 All_Taxa	34	0.2422	0.288	0.2977	0.1721	0.4143	0.54	0.46	0.0272	0.0254	0.0232	0.0208	0.0456	0.0126	0.0126	-0.10	0.25	0.17	0.02	168.74344	99	0.000015759	0.0967	5.00465097706573	0.739258965838486	1.14112016452164	0.100149410932923	0.501212847278012	0.9679	0.032	0.0001	0.0385	0.0002	0.1773	0.2058	0.3128
locus_0009	0 All_Taxa	40	0.2879	0.2447	0.2962	0.1713	0.4592	0.5841	0.4159	0.0304	0.0306	0.0230	0.0220	0.0488	0.0138	0.0138	-0.01	0.18	0.25	0.10	211.95136	117	0.00000019942	0.1062	5.92964442126118	0.75300321492982	0.97803337976354	0.0792092890530206	0.469682918945309	0.9146	0.0853	0.0001	0.0247	0.0002	0.0854	0.2232	0.3609
locus_0010	0 All_Taxa	35	0.294	0.2561	0.3245	0.1254	0.4194	0.6185	0.3815	0.0316	0.0273	0.0277	0.0253	0.0479	0.0224	0.0224	-0.05	0.34	0.40	0.12	360.08876	102	0.000000000000000000000000000012351	0.1119	2.04172231373314	0.628590746643485	0.971532550268021	0.214793485910046	0.438548653027066	0.6036	0.2895	0.107	0.0497	0.1390	0.4719	0.0000	0.0000
locus_0011	0 All_Taxa	27	0.1862	0.3494	0.2501	0.2142	0.4005	0.4364	0.5636	0.0154	0.0152	0.0184	0.0134	0.0267	0.0092	0.0092	-0.15	0.24	-0.07	-0.17	125.54769	78	0.00052025	0.0624	4.75651140121391	0.732893852115263	0.948794133877887	0.0740432005332426	0.352187327518736	0.8686	0.1308	0.0006	0.0086	0.0007	0.4137	0.2360	0.3990
locus_0012	0 All_Taxa	34	0.3047	0.217	0.2589	0.2193	0.5241	0.5636	0.4364	0.0289	0.0193	0.0236	0.0169	0.0400	0.0137	0.0137	0.08	-0.01	0.16	0.09	92.65136	99	0.66040	0.089	929.441976910965	0.708019105077929	4.82569186133211	0.090794193012651	84.3879342457141	0.9825	0.0008	0.0168	0.0013	0.0257	0.1649	0.1667	0.3333
locus_0013	0 All_Taxa	33	0.1788	0.2706	0.3373	0.2134	0.3921	0.516	0.484	0.0213	0.0212	0.0232	0.0234	0.0385	0.0160	0.0160	-0.31	0.12	-0.09	0.11	122.0144	96	0.037736	0.0894	5.07548243999328	0.693646019013666	1.04711030399757	0.0689700891463979	0.350056476347314	0.9997	0	0.0003	0.0000	0.0005	0.1752	0.1716	0.3627
locus_0014	0 All_Taxa	36	0.3252	0.2177	0.275	0.1821	0.5073	0.6002	0.3998	0.0183	0.0194	0.0185	0.0158	0.0316	0.0118	0.0118	0.08	0.09	0.28	0.12	114.1162	105	0.25536	0.0717	1105.241841301	0.755327919281408	6.12847260473818	0.108093939291152	119.469944495632	0.9597	0.0262	0.0141	0.0071	0.0238	0.1362	0.2674	0.3798
locus_0015	0 All_Taxa	33	0.2342	0.3455	0.2837	0.1366	0.3708	0.5179	0.4821	0.0205	0.0226	0.0168	0.0151	0.0336	0.0139	0.0139	-0.10	0.43	0.26	-0.10	128.77323	96	0.014392	0.0748	3474.82849639863	0.791619199513936	18.1324212347093	0.112704254526216	391.627955293061	0.7339	0.2661	0	0.0402	0.0000	0.3945	0.0602	0.0977
locus_0016	0 All_Taxa	34	0.2675	0.234	0.3427	0.1558	0.4233	0.6102	0.3898	0.0232	0.0189	0.0222	0.0135	0.0337	0.0135	0.0135	-0.12	0.20	0.26	0.19	135.20349	99	0.0091646	0.0777	3.48986111614861	0.684963825102233	1.30522736202256	0.141701808195637	0.494519630509901	0.9432	0.0568	0	0.0643	0.0000	0.1983	0.0948	0.1699
locus_0017	0 All_Taxa	39	0.2296	0.2826	0.2922	0.1956	0.4252	0.5218	0.4782	0.0205	0.0295	0.0189	0.0266	0.0467	0.0074	0.0074	-0.12	0.18	0.08	0.02	274.98462	114	0.0000000000000039130	0.0957	2.27976185384364	0.715187117663898	1.18973561815823	0.189839709533987	0.432789328140339	0.8805	0.0601	0.0594	0.0090	0.1004	0.1415	0.0000	0.0000
locus_0018	0 All_Taxa	39	0.2558	0.3217	0.2333	0.1891	0.4449	0.4892	0.5108	0.0267	0.0244	0.0250	0.0230	0.0458	0.0082	0.0082	0.05	0.26	0.15	-0.16	355.37998	114	0.000000000000000000000000052563	0.0992	5.45458341065304	0.686916632470172	1.25103408123811	0.135232684801557	0.737637959096643	0.5486	0.4514	0	0.1316	0.0000	0.4651	0.0272	0.0387
locus_0019	0 All_Taxa	37	0.2483	0.2775	0.286	0.1883	0.4366	0.5343	0.4657	0.0305	0.0320	0.0236	0.0249	0.0548	0.0113	0.0113	-0.07	0.19	0.14	0.02	555.18483	108	0.00000000000000000000000000000000000000000000000000000000029921	0.1109	3.05656483610993	0.648614426392204	1.20879112069144	0.177199866807617	0.541622881847525	0.6950	0.305	0	0.1250	0.0000	0.3571	0.0000	0.0000
locus_0020	0 All_Taxa	35	0.1571	0.2298	0.2797	0.3333	0.4904	0.4368	0.5632	0.0218	0.0207	0.0249	0.0218	0.0407	0.0106	0.0106	-0.28	-0.18	-0.36	0.10	107.00223	102	0.34778	0.0891	6.80303935595973	0.718390804597701	1.19429688397147	0.0654101144592201	0.444987582943905	0.9867	0	0.0133	0.0000	0.0149	0.1366	0.2644	0.4195
locus_0021	0 All_Taxa	32	0.2747	0.2643	0.2576	0.2034	0.4781	0.5323	0.4677	0.0201	0.0252	0.0174	0.0227	0.0405	0.0117	0.0117	0.03	0.13	0.15	-0.01	118.48979	93	0.038437	0.0854	2.10019214881037	0.617447516641065	0.991634974561351	0.22140770660709	0.464998727102321	0.7385	0.2597	0.0019	0.1445	0.0019	0.4092	0.1786	0.2540
locus_0022	0 All_Taxa	31	0.2264	0.269	0.3078	0.1968	0.4232	0.5342	0.4658	0.0168	0.0205	0.0225	0.0239	0.0392	0.0131	0.0131	-0.15	0.16	0.07	0.07	202.9178	90	0.00000000010731	0.0837	1494.24307512326	0.696175834592257	9.70678970722097	0.124106279481326	185.444948694283	0.9578	0.0159	0.0263	0.0012	0.0357	0.2577	0.1129	0.2011
locus_0023	0 All_Taxa	38	0.2266	0.25	0.3042	0.2193	0.4458	0.5308	0.4692	0.0147	0.0224	0.0157	0.0242	0.0356	0.0087	0.0087	-0.15	0.07	0.02	0.10	180.51013	111	0.000034839	0.0772	3820.0184797365	0.806777303619409	6.82255443433165	0.0394816451756871	150.820614181525	0.9929	0.0067	0.0004	0.0003	0.0007	0.0567	0.4622	0.6156
locus_0024	0 All_Taxa	35	0.1948	0.3132	0.3067	0.1853	0.3801	0.5015	0.4985	0.0251	0.0229	0.0306	0.0229	0.0459	0.0195	0.0195	-0.22	0.26	0.02	-0.01	212.56647	102	0.0000000010624	0.1014	3.39737417699917	0.60762474481318	0.982117293179245	0.174911484233749	0.594239759796338	0.7896	0.2104	0	0.1484	0.0000	0.3091	0.0000	0.0000
locus_0025	0 All_Taxa	35	0.2247	0.3478	0.2331	0.1944	0.4191	0.4579	0.5421	0.0172	0.0227	0.0123	0.0176	0.0331	0.0083	0.0083	-0.02	0.28	0.07	-0.20	183.53822	102	0.0000014286	0.0699	4.62479365134983	0.800024649859944	1.20662726258527	0.0904256186470967	0.418199827038473	0.6101	0.3891	0.0007	0.0290	0.0009	0.4661	0.1080	0.1787
locus_0026	0 All_Taxa	31	0.2336	0.3143	0.2856	0.1664	0.4001	0.5192	0.4808	0.0163	0.0172	0.0178	0.0169	0.0277	0.0141	0.0141	-0.10	0.31	0.17	-0.05	177.47485	90	0.00000011031	0.0683	1222.45018838895	0.524665196982649	58.8922042289416	0.232206489288655	283.860866576053	0.4712	0.5288	0	0.1516	0.0000	0.6348	0.0000	0.0000
locus_0027	0 All_Taxa	35	0.25	0.3058	0.2998	0.1443	0.3944	0.5499	0.4501	0.0264	0.0414	0.0325	0.0234	0.0460	0.0305	0.0305	-0.09	0.36	0.27	-0.01	530.37338	102	0.000000000000000000000000000000000000000000000000000000040942	0.1238	697.537013756798	0.692294073385562	5.99896741059227	0.101529344831544	70.8204760024793	0.4209	0.5791	0	0.1083	0.0000	0.6317	0.0000	0.0000
